URN	Title	Author	Editor	Publisher	Publication Year
urn:cts:greekLit:stoa0033a.tlg028.1st1K-grc1	Aristotelis Opera	Aristotle	None	Oxford University Press	1837
urn:cts:greekLit:stoa0033a.tlg043.1st1K-grc1	Aristotelis Opera	Aristotle	None	Oxford University Press	1837
urn:cts:greekLit:tlg0015.tlg001.opp-grc1	Ab Excessu Divi Marci	Herodian	None	Teubner	1855
urn:cts:greekLit:tlg0018.tlg001.opp-grc1	Philonis Alexandrini Opera Qvae Svrersvnt	Leopoldvs Cohn	Leopoldvs Cohn	Typis Et Impensis Georgii Reimeri	XDCCCLXXXXI
urn:cts:greekLit:tlg0018.tlg002.opp-grc1	Philonis Alexandrini Opera Qvae Svrersvnt	Leopoldvs Cohn	Leopoldvs Cohn	Typis Et Impensis Georgii Reimeri	XDCCCLXXXXI
urn:cts:greekLit:tlg0018.tlg003.opp-grc1	Philonis Alexandrini Opera Qvae Svrersvnt	Leopoldvs Cohn	Leopoldvs Cohn	Typis Et Impensis Georgii Reimeri	XDCCCLXXXXI
urn:cts:greekLit:tlg0018.tlg004.opp-grc1	Philonis Alexandrini Opera Qvae Svrersvnt	Leopoldvs Cohn	Leopoldvs Cohn	Typis Et Impensis Georgii Reimeri	XDCCCLXXXXI
urn:cts:greekLit:tlg0018.tlg005.opp-grc1	Philonis Alexandrini Opera Qvae Svrersvnt	Leopoldvs Cohn	Leopoldvs Cohn	Typis Et Impensis Georgii Reimeri	XDCCCLXXXXI
urn:cts:greekLit:tlg0018.tlg006.opp-grc1	Philonis Alexandrini Opera Qvae Svrersvnt	Leopoldvs Cohn	Leopoldvs Cohn	Typis Et Impensis Georgii Reimeri	XDCCCLXXXXI
urn:cts:greekLit:tlg0018.tlg007.opp-grc1	Philonis Alexandrini Opera Qvae Svrersvnt	Leopoldvs Cohn	Leopoldvs Cohn	Typis Et Impensis Georgii Reimeri	XDCCCLXXXXI
urn:cts:greekLit:tlg0018.tlg008.opp-grc1	Philonis Alexandrini Opera Qvae Svrersvnt	Leopoldvs Cohn	Leopoldvs Cohn	Typis Et Impensis Georgii Reimeri	XDCCCLXXXXI
urn:cts:greekLit:tlg0018.tlg009.opp-grc1	Philonis Alexandrini Opera Qvae Svrersvnt	Leopoldvs Cohn	Leopoldvs Cohn	Typis Et Impensis Georgii Reimeri	XDCCCLXXXXI
urn:cts:greekLit:tlg0018.tlg010.opp-grc1	Philonis Alexandrini Opera Qvae Svrersvnt	Leopoldvs Cohn	Leopoldvs Cohn	Typis Et Impensis Georgii Reimeri	XDCCCLXXXXI
urn:cts:greekLit:tlg0018.tlg011.opp-grc1	Philonis Alexandrini Opera Qvae Svrersvnt	Leopoldvs Cohn	Leopoldvs Cohn	Typis Et Impensis Georgii Reimeri	XDCCCLXXXXI
urn:cts:greekLit:tlg0018.tlg012.opp-grc1	Philonis Alexandrini Opera Qvae Svrersvnt	Leopoldvs Cohn	Leopoldvs Cohn	Typis Et Impensis Georgii Reimeri	XDCCCLXXXXI
urn:cts:greekLit:tlg0018.tlg013.opp-grc1	Philonis Alexandrini Opera Qvae Svrersvnt	Leopoldvs Cohn	Leopoldvs Cohn	Typis Et Impensis Georgii Reimeri	XDCCCLXXXXI
urn:cts:greekLit:tlg0018.tlg014.opp-grc1	Philonis Alexandrini Opera Qvae Svrersvnt	Leopoldvs Cohn	Leopoldvs Cohn	Typis Et Impensis Georgii Reimeri	XDCCCLXXXXI
urn:cts:greekLit:tlg0018.tlg015.opp-grc1	Philonis Alexandrini Opera Qvae Svrersvnt	Leopoldvs Cohn	Leopoldvs Cohn	Typis Et Impensis Georgii Reimeri	XDCCCLXXXXI
urn:cts:greekLit:tlg0018.tlg016.opp-grc1	Philonis Alexandrini Opera Qvae Svrersvnt	Leopoldvs Cohn	Leopoldvs Cohn	Typis Et Impensis Georgii Reimeri	XDCCCLXXXXI
urn:cts:greekLit:tlg0018.tlg017.opp-grc1	Philonis Alexandrini Opera Qvae Svrersvnt	Leopoldvs Cohn	Leopoldvs Cohn	Typis Et Impensis Georgii Reimeri	XDCCCLXXXXI
urn:cts:greekLit:tlg0018.tlg018.opp-grc1	Philonis Alexandrini Opera Qvae Svrersvnt	Leopoldvs Cohn	Leopoldvs Cohn	Typis Et Impensis Georgii Reimeri	XDCCCLXXXXI
urn:cts:greekLit:tlg0018.tlg019.opp-grc1	Philonis Alexandrini Opera Qvae Svrersvnt	Leopoldvs Cohn	Leopoldvs Cohn	Typis Et Impensis Georgii Reimeri	XDCCCLXXXXI
urn:cts:greekLit:tlg0018.tlg020.opp-grc1	Philonis Alexandrini Opera Qvae Svpersvnt	Leopoldvs Cohn Et Pavlvs Wendland	Leopoldvs Cohn Et Pavlvs Wendland	Typis Et Impensis Georgii Reimeri	MCMII
urn:cts:greekLit:tlg0018.tlg021.opp-grc1	Philonis Alexandrini Opera Qvae Svpersvnt	Leopoldvs Cohn Et Pavlvs Wendland	Leopoldvs Cohn Et Pavlvs Wendland	Typis Et Impensis Georgii Reimeri	MCMII
urn:cts:greekLit:tlg0018.tlg022.opp-grc1	Philonis Alexandrini Opera Qvae Svpersvnt	Leopoldvs Cohn Et Pavlvs Wendland	Leopoldvs Cohn Et Pavlvs Wendland	Typis Et Impensis Georgii Reimeri	MCMII
urn:cts:greekLit:tlg0018.tlg023.opp-grc1	Philonis Alexandrini Opera Qvae Svpersvnt	Leopoldvs Cohn Et Pavlvs Wendland	Leopoldvs Cohn Et Pavlvs Wendland	Typis Et Impensis Georgii Reimeri	MCMII
urn:cts:greekLit:tlg0018.tlg024.opp-grc1	Philonis Alexandrini Opera Qvae Svpersvnt	Leopoldvs Cohn Et Pavlvs Wendland	Leopoldvs Cohn Et Pavlvs Wendland	Typis Et Impensis Georgii Reimeri	MCMII
urn:cts:greekLit:tlg0018.tlg025.opp-grc1	Philonis Alexandrini Opera Qvae Svpersvnt	Leopoldvs Cohn Et Pavlvs Wendland	Leopoldvs Cohn Et Pavlvs Wendland	Typis Et Impensis Georgii Reimeri	MCMII
urn:cts:greekLit:tlg0018.tlg026.opp-grc1	Philonis Alexandrini Opera Qvae Svpersvnt	Leopoldvs Cohn Et Pavlvs Wendland	Leopoldvs Cohn Et Pavlvs Wendland	Typis Et Impensis Georgii Reimeri	MCMII
urn:cts:greekLit:tlg0018.tlg027.opp-grc1	Philonis Alexandrini Opera Qvae Svpersvnt	Leopoldvs Cohn Et Pavlvs Wendland	Leopoldvs Cohn Et Pavlvs Wendland	Typis Et Impensis Georgii Reimeri	MCMII
urn:cts:greekLit:tlg0018.tlg028.opp-grc1	Philonis Alexandrini Opera Qvae Svpersvnt	Leopoldvs Cohn Et Pavlvs Wendland	Leopoldvs Cohn Et Pavlvs Wendland	Typis Et Impensis Georgii Reimeri	MCMII
urn:cts:greekLit:tlg0018.tlg029.opp-grc1	Philonis Alexandrini Opera Qvae Svpersvnt	Leopoldvs Cohn Et Pavlvs Wendland	Leopoldvs Cohn Et Pavlvs Wendland	Typis Et Impensis Georgii Reimeri	MCMII
urn:cts:greekLit:tlg0018.tlg030.opp-grc1	Philonis Alexandrini Opera Qvae Svpersvnt	Leopoldvs Cohn Et Pavlvs Wendland	Leopoldvs Cohn Et Pavlvs Wendland	Typis Et Impensis Georgii Reimeri	MCMII
urn:cts:greekLit:tlg0018.tlg031.opp-grc1	Philonis Alexandrini Opera Qvae Svpersvnt	Leopoldvs Cohn Et Pavlvs Wendland	Leopoldvs Cohn Et Pavlvs Wendland	Typis Et Impensis Georgii Reimeri	MCMII
urn:cts:greekLit:tlg0057.tlg001.1st1K-grc1	Claudii Galeni Opera Omnia	Galen	None	Cnobloch	1821
urn:cts:greekLit:tlg0057.tlg001.1st1K-grc2	Claudii Galeni Protreptici Quae Supersunt	Galen	None	Weidmann	1894
urn:cts:greekLit:tlg0057.tlg002.1st1K-grc1	Claudii Galeni Opera Omnia	Galen	None	Cnobloch	1821
urn:cts:greekLit:tlg0057.tlg003.1st1K-grc1	Claudii Galeni Opera Omnia	Galen	None	Cnobloch	1821
urn:cts:greekLit:tlg0057.tlg004.1st1K-grc1	Claudii Galeni Opera Omnia	Galen	None	Cnobloch	1821
urn:cts:greekLit:tlg0057.tlg006.1st1K-grc1	Claudii Galeni Opera Omnia	Galen	None	Cnobloch	1821
urn:cts:greekLit:tlg0057.tlg007.1st1K-grc1	Claudii Galeni Opera Omnia	Galen	None	Cnobloch	1821
urn:cts:greekLit:tlg0057.tlg008.1st1K-grc1	Claudii Galeni Opera Omnia	Galen	None	Cnobloch	1821
urn:cts:greekLit:tlg0057.tlg009.1st1K-grc1	Claudii Galeni Opera Omnia	Galen	None	Cnobloch	1821
urn:cts:greekLit:tlg0057.tlg009.1st1K-grc2	Galeni De Temperamentis Libri Iii	Galen	None	B. G. Teubner	1904
urn:cts:greekLit:tlg0057.tlg010.1st1K-grc1	Claudii Galeni Opera Omnia	Galen	None	Cnobloch	1821
urn:cts:greekLit:tlg0057.tlg011.1st1K-grc1	Claudii Galeni Opera Omnia	Galen	None	Cnobloch	1821
urn:cts:greekLit:tlg0057.tlg012.1st1K-grc1	Claudii Galeni Opera Omnia	Galen	None	Cnobloch	1821
urn:cts:greekLit:tlg0057.tlg013.1st1K-grc1	Claudii Galeni Opera Omnia	Galen	None	Cnobloch	1821
urn:cts:greekLit:tlg0057.tlg014.1st1K-grc1	Claudii Galeni Opera Omnia	Galen	None	Cnobloch	1821
urn:cts:greekLit:tlg0057.tlg015.1st1K-grc1	Claudii Galeni Opera Omnia	Galen	None	Cnobloch	1821
urn:cts:greekLit:tlg0057.tlg016.1st1K-grc1	Claudii Galeni Opera Omnia	Galen	None	Cnobloch	1821
urn:cts:greekLit:tlg0057.tlg017.1st1K-grc1	Claudii Galeni Opera Omnia	Galen	None	Cnobloch	1822
urn:cts:greekLit:tlg0057.tlg018.1st1K-grc1	Claudii Galeni Opera Omnia	Galen	None	Cnobloch	1822
urn:cts:greekLit:tlg0057.tlg019.1st1K-grc1	Galeni De Victu Attenuante Liber	Galen	None	B. G. Teubner	1898
urn:cts:greekLit:tlg0057.tlg019.opp-grc1	Galeni	Carolus Kalbfleisch	Carolus Kalbfleisch	In Aedibus B.G. Teubneri	MDCCCXCVIII.
