file	introwords	introchars	appcritwords	appcritchars	indexwords	indexchars	textwords	textchars
cag_01.xml	3001	28834	76849	729433	30545	333621	345125	4116263
cag_02_1.xml	8238	75620	47973	347577	1523	19812	166317	2046785
cag_02_2.xml	28119	248266	111844	893455	58302	610139	191384	2353929
cag_02_3.xml	15401	139924	23701	193950	13211	172548	73178	917236
cag_03_1.xml	5708	48713	43468	321689	11200	133803	54602	644497
cag_03_2.xml	4528	39507	27956	215679	7218	97462	86096	1056494
cag_04_1.xml	28343	233910	24119	173512	523	7252	56947	678558
cag_04_2.xml	61934	645874	100380	867043	52069	670447	225757	2860039
cag_05_1-3.xml	23558	185547	62450	501443	17536	247928	167817	2028362
cag_05_4-6.xml	7722	62126	19365	141966	367	3648	117022	956378
cag_06_1-2.xml	3704	30335	42739	362818	23719	287281	257174	3193441
cag_07.xml	4743	39818	98662	765542	15101	190842	277949	3410110
cag_08.xml	6803	60263	60407	451063	57065	676113	173448	2109713
cag_09.xml	11254	89202	70024	533462	0	0	218580	2642952
cag_10.xml	3402	29437	74268	565159	30976	407314	222480	2681609
cag_11.xml	5874	41390	10709	87711	10899	132211	142627	1729308
cag_12_1-2.xml	5890	54659	35259	288958	17833	239284	174917	2213543
cag_13_1-2.xml	21867	197913	94713	742465	9101	132595	242892	2969359
cag_13_3.xml	14870	127581	70937	564227	3040	23690	216576	2536232
cag_14_1.xml	4702	41653	71206	577923	27015	374312	263843	3269544
cag_15.xml	6041	55197	48366	391718	19554	242478	245079	2979500
cag_16-17.xml	5607	47652	133617	1055018	32143	424845	314699	3779208
cag_18_1-2.xml	24889	228719	63846	516047	17163	255096	194496	2475691
cag_19.xml	3271	27980	23252	186888	25851	340276	166578	2074159
cag_20.xml	3276	33371	43020	363514	9066	133263	247468	3119042
cag_21_1.xml	9089	86435	41362	326647	14923	207003	149910	1818136
cag_22_1.xml	9083	86465	41362	326647	14923	207003	149909	1818116
cag_23.xml	5059	46657	22974	186765	15586	204698	200397	2502416
catena_1.xml	6100	49608	4851	44701	85	2073	140269	1894368
catena_2.xml	1304	12458	545	6731	0	0	128095	1733384
catena_3.xml	2019	24939	1278	14245	2016	17305	118428	1672435
catena_4.xml	279	2811	1088	11849	1654	11527	156272	2110048
catena_5.xml	335	2673	698	7967	84	2072	134172	1820285
catena_6.xml	356	3094	294	3570	669	4525	113672	1522551
catena_7.xml	606	7513	448	5699	0	0	174372	2351201
catena_8.xml	756	6559	9667	83677	4553	63964	163978	2159630
totals	347731	3142703	1603697	12856758	545513	6876430	6472525	80244522
