file	introwords	introchars	appcritwords	appcritchars	indexwords	indexchars	textwords	textchars
annacomnena-1884.xml	5125	51368	9147	95954	9636	68248	145993	2119363
christuspatiens.xml	0	0	18754	145567	79	1993	23619	294844
cshb02-annacom.xml	8517	75191	76584	656778	0	0	82961	1182332
cshb03-annacom.xml	1052	9031	61725	521302	33269	357037	183391	1966309
cshb04-agathias.xml	7090	62933	62529	518095	7393	78470	78990	1058992
cshb11-chroniconpasc.xml	363	3158	118828	975579	85	2046	131728	1779315
ecclesiastes-1909.xml	1696	13856	8463	81898	2036	17089	121704	1166059
epiphanius01.xml	656	5198	78656	591110	75	2006	124827	1671045
epiphanius02.xml	0	0	88212	710587	0	0	137324	1826733
eusebius-dindorf01.xml	12737	118852	799	6678	0	0	138729	2011483
eusebius-dindorf02.xml	0	0	1497	13798	15651	126393	97470	1364121
eusebius-dindorf03.xml	4323	45549	4347	34635	2587	14515	160236	2247459
eusebius-dindorf04.xml	5839	52450	1763	12843	12673	99167	108266	1614521
eusebius-kvc01.xml	35527	290191	33050	250605	76	1989	120116	1598233
eusebius-kvc03.xml	18503	146039	35952	295770	0	0	139543	1169141
eusebius-kvc04.xml	7114	57616	19866	114614	0	0	100468	1191926
galen-018.xml	4612	37091	2565	19990	1903	19296	6838	94248
gelasius-kg.xml	9610	73663	21253	167388	75	2024	82304	1015599
gregnaz-mason-1899.xml	4773	33006	49627	411272	18275	84786	26526	340379
henoch.1901.xml	0	0	15769	108620	71	2019	61643	477478
hippolytus-wendland-gkv03.xml	4802	37150	48807	402836	15990	242683	76153	1046914
isaiah-ottley-1904.xml	10638	68783	26890	219322	8447	66293	236607	1877737
libanius_01.xml	1406	11405	46622	350974	83	2355	93423	1126710
libanius_03.xml	15964	161978	46645	343580	0	0	83734	1013824
libanius_04.xml	351	2833	68295	476711	0	0	80053	969685
libanius_05.xml	231	1879	83512	601260	0	0	88623	1056563
libanius_06.xml	238	2485	94387	696976	935	5535	99449	1233629
libanius_07.xml	2759	21718	98234	733154	83	2359	119229	1457828
libanius_09.xml	823	6505	12929	108248	30	424	58624	476941
libanius_10.xml	942	6929	113168	769743	0	0	136178	1779843
methodius.xml	12553	99181	110951	797623	0	0	144026	1529171
old_testament1901_vol1.xml	11049	72416	117084	926442	0	0	280597	3733565
oracsib.xml	16615	131106	71830	552232	0	0	33774	457379
origen-gkv03.xml	12453	95035	42907	310402	0	0	119170	1356521
origen-gkv04.xml	34467	274710	62767	398079	0	0	250291	2989975
origen-gkv09.xml	17719	132397	62305	470890	0	0	75449	717220
origen-gkv10.xml	1574	12821	52449	378900	0	0	163034	1955922
origen-gkv11.xml	1188	9551	30506	168711	0	0	87315	676196
philo-cohn-01-03.xml	51171	474979	131752	1192726	184	1528	248359	3411691
philo-cohn-04-06.xml	43458	387267	174451	1664132	349	2918	208776	2998029
proclus-resp01.xml	632	4912	9306	75617	0	0	72216	952723
proclus-resp02.xml	1514	11587	20369	162031	13301	137330	105632	1283876
ptolemy007.xml	4183	32031	23585	215279	0	0	40578	572690
sextemp01-02.xml	9998	86644	34050	294910	0	0	167364	2286987
theodoret-parmentier-1911.xml	35937	265133	73533	544172	11523	44715	95167	1248482
zonaras01.xml	8608	72498	1586	13612	0	0	91479	1218439
zonaras02.xml	0	0	2183	18994	0	0	101800	1372172
zonaras03.xml	0	0	2317	20037	0	0	89425	1315535
zonaras04.xml	1205	12248	2118	24181	0	0	81283	1184876
totals	430015	3571373	2374924	18664857	154809	1383218	5600484	69490703
