Filename	URN	Suggested Full URN	Title	Author	Editor	Publisher	Publication Year
tlg0018.tlg001.xml	tlg0018.tlg001	urn:cts:greekLit:tlg0018.tlg001.opp-grc1	De Opificio Mundi	Philo Judaeus	Leopoldvs Cohn	Typis Et Impensis Georgii Reimeri	XDCCCLXXXXI
tlg0018.tlg002.xml	tlg0018.tlg002	urn:cts:greekLit:tlg0018.tlg002.opp-grc1	Legum Allegoriarum Libri I-Iii	Philo Judaeus	Leopoldvs Cohn	Typis Et Impensis Georgii Reimeri	XDCCCLXXXXI
tlg0018.tlg003.xml	tlg0018.tlg003	urn:cts:greekLit:tlg0018.tlg003.opp-grc1	De Cherubim	Philo Judaeus	Leopoldvs Cohn	Typis Et Impensis Georgii Reimeri	XDCCCLXXXXI
tlg0018.tlg004.xml	tlg0018.tlg004	urn:cts:greekLit:tlg0018.tlg004.opp-grc1	De Sacrificiis Abelis Et Caini	Philo Judaeus	Leopoldvs Cohn	Typis Et Impensis Georgii Reimeri	XDCCCLXXXXI
tlg0018.tlg005.xml	tlg0018.tlg005	urn:cts:greekLit:tlg0018.tlg005.opp-grc1	Quod Deterius Potiori Insidiari Soleat	Philo Judaeus	Leopoldvs Cohn	Typis Et Impensis Georgii Reimeri	XDCCCLXXXXI
tlg0018.tlg006.xml	tlg0018.tlg006	urn:cts:greekLit:tlg0018.tlg006.opp-grc1	De Posteritate Caini	Philo Judaeus	Leopoldvs Cohn	Typis Et Impensis Georgii Reimeri	XDCCCLXXXXI
tlg0018.tlg007.xml	tlg0018.tlg007	urn:cts:greekLit:tlg0018.tlg007.opp-grc1	De Gigantibus	Philo Judaeus	Leopoldvs Cohn	Typis Et Impensis Georgii Reimeri	XDCCCLXXXXI
tlg0018.tlg008.xml	tlg0018.tlg008	urn:cts:greekLit:tlg0018.tlg008.opp-grc1	Quod Deus Sit Immutabilis	Philo Judaeus	Leopoldvs Cohn	Typis Et Impensis Georgii Reimeri	XDCCCLXXXXI
tlg0018.tlg009.xml	tlg0018.tlg009	urn:cts:greekLit:tlg0018.tlg009.opp-grc1	De Agricultura	Philo Judaeus	Leopoldvs Cohn	Typis Et Impensis Georgii Reimeri	XDCCCLXXXXI
tlg0018.tlg010.xml	tlg0018.tlg010	urn:cts:greekLit:tlg0018.tlg010.opp-grc1	De Plantatione	Philo Judaeus	Leopoldvs Cohn	Typis Et Impensis Georgii Reimeri	XDCCCLXXXXI
tlg0018.tlg011.xml	tlg0018.tlg011	urn:cts:greekLit:tlg0018.tlg011.opp-grc1	De Ebrietate	Philo Judaeus	Leopoldvs Cohn	Typis Et Impensis Georgii Reimeri	XDCCCLXXXXI
tlg0018.tlg012.xml	tlg0018.tlg012	urn:cts:greekLit:tlg0018.tlg012.opp-grc1	De Sobrietate	Philo Judaeus	Leopoldvs Cohn	Typis Et Impensis Georgii Reimeri	XDCCCLXXXXI
tlg0018.tlg013.xml	tlg0018.tlg013	urn:cts:greekLit:tlg0018.tlg013.opp-grc1	De Confusione Linguarum	Philo Judaeus	Leopoldvs Cohn	Typis Et Impensis Georgii Reimeri	XDCCCLXXXXI
tlg0018.tlg014.xml	tlg0018.tlg014	urn:cts:greekLit:tlg0018.tlg014.opp-grc1	De Migratione Abrahami	Philo Judaeus	Leopoldvs Cohn	Typis Et Impensis Georgii Reimeri	XDCCCLXXXXI
tlg0018.tlg015.xml	tlg0018.tlg015	urn:cts:greekLit:tlg0018.tlg015.opp-grc1	Quis Rerum Divinarum Heres Sit	Philo Judaeus	Leopoldvs Cohn	Typis Et Impensis Georgii Reimeri	XDCCCLXXXXI
tlg0018.tlg016.xml	tlg0018.tlg016	urn:cts:greekLit:tlg0018.tlg016.opp-grc1	De Congressu Eruditionis Gratia	Philo Judaeus	Leopoldvs Cohn	Typis Et Impensis Georgii Reimeri	XDCCCLXXXXI
