URN	(Suggested) Full_URN	Title	Author	Editor	Publisher	Publication Year
commentaria_05_4-6_0_THEMISTII_IN LIBROS ARISTOTELIS DE CAELO PARAPHRASIS	tlg2001.tlg043.opp-grc1	COMMENTARIA IN ARISTOTELEM GRAECA	SAMUEL LANDAUER	SAMUEL LANDAUER	typis et impensis georgii reimeri	MCMII
gelasius-kg_1_	tlg2768.tlg001.opp-grc1-Κατὰ Εὐσεβίου καὶ Θεογνίου	GELASIUS KIRCHENGESCHICHTE	DR. MARGRET HEINEMANN	DR. MARGRET HEINEMANN	J. C. HINRICHS'SCHE BUCHHANDLUNG	1918
henoch.1901_0_	tlg1463.tlg001.opp-grc1	DAS BUCH HENOCH	DR. JOH. FLEMMING	DR. JOH. FLEMMING	J.C.HINRICHS'SCHE BUCHHANDLUNG	1901
methodius_1_UNKNOWN	tlg2959.tlg011.opp-grc1	METHODIUS	D.G. NATHANAEL BONWETSCH	D.G. NATHANAEL BONWETSCH	J. C. HINRICHS'SCHE BUCHHANDLUNG	1917
methodius_2_UNKNOWN	tlg2959.tlg012.opp-grc1	METHODIUS	D.G. NATHANAEL BONWETSCH	D.G. NATHANAEL BONWETSCH	J. C. HINRICHS'SCHE BUCHHANDLUNG	1917
methodius_4_UNKNOWN	tlg2959.tlg013.opp-grc1	METHODIUS	D.G. NATHANAEL BONWETSCH	D.G. NATHANAEL BONWETSCH	J. C. HINRICHS'SCHE BUCHHANDLUNG	1917
mpg242.ZZZ	tlg9006.tlg011.opp-grc1	Atheniensium Defensio	Gregory II of Cyprus	Richardus Foerster	In Aedibus B. G. Teubneri	1911
Themistius.ANALYTICORUM_PARAPHRASIS	tlg2001.tlg042.opp-grc1	In libros de anima paraphrasis	Sophonias	Michael Hayduck	Berolini: Typis et Impensis G. Reimeri	1883-1884
tlg0018.tlg001	tlg0018.tlg001.opp-grc1	PHILONIS ALEXANDRINI OPERA QVAE SVRERSVNT	LEOPOLDVS COHN	LEOPOLDVS COHN	TYPIS ET IMPENSIS GEORGII REIMERI	XDCCCLXXXXI
tlg0018.tlg002	tlg0018.tlg002.opp-grc1	PHILONIS ALEXANDRINI OPERA QVAE SVRERSVNT	LEOPOLDVS COHN	LEOPOLDVS COHN	TYPIS ET IMPENSIS GEORGII REIMERI	XDCCCLXXXXI
tlg0018.tlg003	tlg0018.tlg003.opp-grc1	PHILONIS ALEXANDRINI OPERA QVAE SVRERSVNT	LEOPOLDVS COHN	LEOPOLDVS COHN	TYPIS ET IMPENSIS GEORGII REIMERI	XDCCCLXXXXI
tlg0018.tlg004	tlg0018.tlg004.opp-grc1	PHILONIS ALEXANDRINI OPERA QVAE SVRERSVNT	LEOPOLDVS COHN	LEOPOLDVS COHN	TYPIS ET IMPENSIS GEORGII REIMERI	XDCCCLXXXXI
tlg0018.tlg005	tlg0018.tlg005.opp-grc1	PHILONIS ALEXANDRINI OPERA QVAE SVRERSVNT	LEOPOLDVS COHN	LEOPOLDVS COHN	TYPIS ET IMPENSIS GEORGII REIMERI	XDCCCLXXXXI
tlg0018.tlg006	tlg0018.tlg006.opp-grc1	PHILONIS ALEXANDRINI OPERA QVAE SVRERSVNT	LEOPOLDVS COHN	LEOPOLDVS COHN	TYPIS ET IMPENSIS GEORGII REIMERI	XDCCCLXXXXI
tlg0018.tlg007	tlg0018.tlg007.opp-grc1	PHILONIS ALEXANDRINI OPERA QVAE SVRERSVNT	LEOPOLDVS COHN	LEOPOLDVS COHN	TYPIS ET IMPENSIS GEORGII REIMERI	XDCCCLXXXXI
tlg0018.tlg008	tlg0018.tlg008.opp-grc1	PHILONIS ALEXANDRINI OPERA QVAE SVRERSVNT	LEOPOLDVS COHN	LEOPOLDVS COHN	TYPIS ET IMPENSIS GEORGII REIMERI	XDCCCLXXXXI
tlg0018.tlg009	tlg0018.tlg009.opp-grc1	PHILONIS ALEXANDRINI OPERA QVAE SVRERSVNT	LEOPOLDVS COHN	LEOPOLDVS COHN	TYPIS ET IMPENSIS GEORGII REIMERI	XDCCCLXXXXI
